medicineID	medicineName	medicineType	dosageType	drugRoute	company	drug	dosages	activeIngredientUnit	pharmacologicalClasses	category
1	.Insulin Aspart Protamine and Insulin Aspart 	Antihyperglycemic	INJECTION	SUBCUTANEOUS	A-S Medication Solutions	INSULIN ASPART	100	[iU]/mL	"Insulin [CS],Insulin Analog [EPC]"	HUMAN PRESCRIPTION DRUG
2	.Insulin Aspart Protamine and Insulin Aspart 	Antihyperglycemic	INJECTION	SUBCUTANEOUS	"Novo Nordisk Pharma, Inc."	INSULIN ASPART	100	[iU]/mL	"Insulin [CS],Insulin Analog [EPC]"	HUMAN PRESCRIPTION DRUG
3	011054 NIACINAMIDE 4% / SPIRONOLACTONE 5% 	Diuretic	GEL	TOPICAL	"Sincerus Florida, LLC"	NIACINAMIDE; SPIRONOLACTONE	4;5	g/100g	"Aldosterone Antagonist [EPC],Aldosterone Antagonists [MoA]"	HUMAN PRESCRIPTION DRUG
4	011218 NIACINAMIDE 2% / SPIRONOLACTONE 5% / TRETINOIN 0.025% 	Diuretic	GEL	TOPICAL	"Sincerus Florida, LLC"	NIACINAMIDE; SPIRONOLACTONE; TRETINOIN	2;5;0.025	g/100g	"Aldosterone Antagonist [EPC],Aldosterone Antagonists [MoA],Retinoid [EPC],Retinoids [CS]"	HUMAN PRESCRIPTION DRUG
5	011220 NIACINAMIDE 2% / SPIRONOLACTONE 5% / TRETINOIN 0.05% 	Diuretic	GEL	TOPICAL	"Sincerus Florida, LLC"	SPIRONOLACTONE; TRETINOIN; NIACINAMIDE	5;0.05;2	g/100g	"Aldosterone Antagonist [EPC],Aldosterone Antagonists [MoA],Retinoid [EPC],Retinoids [CS]"	HUMAN PRESCRIPTION DRUG
6	011503 DAPSONE 6% / NIACINAMIDE 2% / SPIRONOLACTONE 5% 	Diuretic	GEL	TOPICAL	"Sincerus Florida, LLC"	NIACINAMIDE; SPIRONOLACTONE; DAPSONE	2;5;6	g/100g	"Aldosterone Antagonist [EPC],Aldosterone Antagonists [MoA],Sulfone [EPC],Sulfones [CS]"	HUMAN PRESCRIPTION DRUG
7	2 IN 1LAXATIVE STOOL SOFTENER AND STIULANT LAXATIVE 	Laxative	TABLET	ORAL	RITE AID	DOCUSATE SODIUM; SENNOSIDES	50;8.6	mg/1		HUMAN PRESCRIPTION DRUG
8	365 everyday value ibuprofen 	Analgesic	TABLET	ORAL	"Whole Foods Market, INC."	IBUPROFEN	200	mg/1		HUMAN PRESCRIPTION DRUG
9	7 Select Childrens Ibuprofen 	Analgesic	SUSPENSION	ORAL	7-Eleven	IBUPROFEN	100	mg/5mL		HUMAN PRESCRIPTION DRUG
10	7 select ibuprofen 	Analgesic	CAPSULE	ORAL	7-Eleven	IBUPROFEN	200	mg/1		HUMAN PRESCRIPTION DRUG
